Gender,Nationality,Class_Level,Age_Real,School_Type,Main_Administration,Candidacy_type,Degree,Result
female,Saudi,3,21,Governmental,Riyadh,Self-Candidacy,593,FAIL
male,Saudi,3,20,Governmental,Unknown,Self-Candidacy,600,FAIL
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,640,PASS
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600,FAIL
female,Saudi,3,19,Governmental,Eastern,Talented-Candidacy,713,PASS
male,Saudi,3,19,Private,Qaseem,Talented-Candidacy,587,FAIL
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,673,PASS
male,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,600,FAIL
male,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,640,PASS
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,627,PASS
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,627,PASS
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,473,FAIL
male,Saudi,3,19,Governmental,Jazan,Talented-Candidacy,660,PASS
male,Saudi,3,19,Private,Riyadh,Talented-Candidacy,607,PASS
female,Saudi,3,19,Governmental,Mecca,Self-Candidacy,587,FAIL
female,Saudi,3,19,Governmental,Jazan,Talented-Candidacy,573,FAIL
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,607,PASS
female,Saudi,3,19,Governmental,Madinah,Talented-Candidacy,633,PASS
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,633,PASS
male,Saudi,3,19,Governmental,Aseer,Self-Candidacy,660,PASS
male,Saudi,3,19,Governmental,Mecca,Talented-Candidacy,633,PASS
female,Saudi,3,19,Governmental,Tabuk,Self-Candidacy,607,PASS
male,Saudi,3,19,Governmental,Mecca,Self-Candidacy,600,FAIL
female,Saudi,3,19,Governmental,Hail,Self-Candidacy,547,FAIL
female,Saudi,3,19,Governmental,Riyadh,Talented-Candidacy,627,PASS
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600,FAIL
female,Saudi,3,19,Governmental,Mecca,Self-Candidacy,387,FAIL
female,Saudi,3,19,Governmental,Jazan,Self-Candidacy,600,FAIL
male,Saudi,3,19,Governmental,Eastern,Talented-Candidacy,660,PASS
male,Saudi,3,19,Governmental,Eastern,Self-Candidacy,573,FAIL
male,Saudi,3,19,Governmental,Unknown,Self-Candidacy,627,PASS
male,Saudi,3,19,Governmental,Hudud-Shimaliyyah,Self-Candidacy,633,PASS
male,Saudi,3,19,Private,Aseer,Self-Candidacy,580,FAIL
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,607,PASS
male,Saudi,3,19,Governmental,Eastern,Self-Candidacy,580,FAIL
female,Saudi,3,19,Governmental,Riyadh,Self-Candidacy,593,FAIL
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,400,FAIL
male,Saudi,3,19,Governmental,Jazan,Self-Candidacy,653,PASS
female,Saudi,3,19,Governmental,Tabuk,Talented-Candidacy,607,PASS
male,Saudi,3,19,Governmental,Bahah,Talented-Candidacy,607,PASS
male,Saudi,3,19,Governmental,Madinah,Self-Candidacy,640,PASS
male,Saudi,3,19,Private,Eastern,Self-Candidacy,607,PASS
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,727,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,787,PASS
female,Saudi,3,19,Foreign,Riyadh,Self-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,500,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,620,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,633,PASS
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,673,PASS
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,587,FAIL
male,Saudi,3,18,Governmental,Qaseem,Talented-Candidacy,620,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,527,FAIL
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,567,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,507,FAIL
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,520,FAIL
female,Saudi,3,18,Governmental,Jawf,Self-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,653,PASS
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,660,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,453,FAIL
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,640,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,427,FAIL
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,560,FAIL
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,707,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,713,PASS
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,673,PASS
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,627,PASS
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,653,PASS
male,Saudi,3,19,Governmental,Mecca,Self-Candidacy,560,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,680,PASS
female,Saudi,3,18,Governmental,Madinah,Self-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Najran,Talented-Candidacy,580,FAIL
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,627,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,560,FAIL
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,560,FAIL
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,473,FAIL
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,647,PASS
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,633,PASS
female,Saudi,3,18,Private,Mecca,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,673,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,473,FAIL
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,440,FAIL
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,660,PASS
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,667,PASS
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,687,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,587,FAIL
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,607,PASS
male,Saudi,3,18,Private,Mecca,Self-Candidacy,740,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,540,FAIL
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,653,PASS
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,600,FAIL
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,607,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,687,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,547,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,640,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,673,PASS
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,720,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,500,FAIL
male,Saudi,3,18,Private,Eastern,Self-Candidacy,793,PASS
female,Saudi,3,18,Governmental,Hail,Talented-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,647,PASS
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,653,PASS
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,427,FAIL
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,587,FAIL
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,620,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,640,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,500,FAIL
female,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,580,FAIL
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,600,FAIL
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,660,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,667,PASS
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,673,PASS
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,573,FAIL
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,613,PASS
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,660,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,580,FAIL
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627,PASS
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,600,FAIL
male,Saudi,3,18,Private,Mecca,Self-Candidacy,707,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,667,PASS
male,Saudi,3,18,Private,Mecca,Self-Candidacy,600,FAIL
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,453,FAIL
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,587,FAIL
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,693,PASS
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,680,PASS
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,693,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,607,PASS
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,693,PASS
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Najran,Talented-Candidacy,700,PASS
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,693,PASS
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,573,FAIL
female,Saudi,3,19,Governmental,Hudud-Shimaliyyah,Self-Candidacy,667,PASS
female,Saudi,3,18,Private,Madinah,Self-Candidacy,567,FAIL
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,560,FAIL
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,593,FAIL
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,593,FAIL
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,680,PASS
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,507,FAIL
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700,PASS
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,600,FAIL
